society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
maa shitala apartment,0.43,baguiati,3925.0,1096.0,Super Built up area 1070(99.41 sq.m.),3.0,2,1,1,North,Moderately Old,North,1070.0,,,0,0,0,0,0,0,0.0
ridhi sidhi apartment rishra,0.22,hooghly,2712.0,811.0,Super Built up area 973(90.39 sq.m.)Carpet area: 811 sq.ft. (75.34 sq.m.),2.0,2,0,4,South,Old Property,West,973.0,,811.0,0,0,1,0,0,1,6.0
shibani apartment,0.35,birati,3684.0,950.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),3.0,2,1,3,,Old Property,North,1000.0,,950.0,0,0,0,0,0,1,0.0
green valley,0.35,kaikhali,4622.0,757.0,Super Built up area 768(71.35 sq.m.),2.0,2,1,3,South-West,Old Property,North,768.0,,,0,0,0,0,0,0,96.0
bengal shelter sisirkunja,0.46,madhyamgram,4401.0,1045.0,Super Built up area 1045(97.08 sq.m.),3.0,2,2,6,North,Relatively New,North,1045.0,,,0,0,0,0,0,2,160.0
kendriya vihar phase ii,0.85,dunlop,7083.0,1200.0,Super Built up area 1716(159.42 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3.0,4,3+,3,East,Moderately Old,North,1716.0,,1200.0,1,0,0,0,0,0,88.0
chitrakut dham,0.68,krishnapur,5155.0,1319.0,Super Built up area 1319(122.54 sq.m.),3.0,2,2,4,South,Moderately Old,North,1319.0,,,0,0,0,0,0,2,138.0
deepthapani residency,0.75,dhakuria,5438.0,1379.0,Super Built up area 1379(128.11 sq.m.),3.0,2,2,3,,Relatively New,South,1379.0,,,0,0,0,1,0,0,0.0
bcn shyam vihar phase 2,0.7,raghunathpur,5204.0,1345.0,Super Built up area 1345(124.95 sq.m.),3.0,2,2,5,East,Old Property,North,1345.0,,,0,0,0,0,0,0,86.0
srijan eternis,0.55,madhyamgram,9734.0,565.0,Super Built up area 823(76.46 sq.m.)Carpet area: 565 sq.ft. (52.49 sq.m.),2.0,2,1,9,East,New Property,North,823.0,,565.0,0,0,0,0,0,0,112.0
aprajita housing society,0.45,kal,3627.0,1241.0,Super Built up area 1100(102.19 sq.m.),3.0,2,2,3,South-East,Old Property,North,1100.0,,,0,0,0,0,0,0,31.0
swastik apartment 2,0.21,bansdroni,3500.0,600.0,Super Built up area 600(55.74 sq.m.),2.0,2,1,1,South-East,New Property,South,600.0,,,0,0,0,0,0,0,0.0
konark apartment,0.51,panchasayar,4703.0,1084.0,Super Built up area 1148(106.65 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),3.0,2,1,2,North,Moderately Old,South,1148.0,,800.0,0,0,0,0,0,0,24.0
vasundhara apartment tegharia,0.65,kaikhali,6989.0,930.0,Super Built up area 1210(112.41 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2.0,2,2,5,South,Moderately Old,North,1210.0,,930.0,0,0,0,0,0,1,110.0
tata avenida,2.1,new town,10326.0,2034.0,Super Built up area 1840(170.94 sq.m.),3.0,3,2,11,,Relatively New,East,1840.0,,,0,0,0,0,0,0,46.0
mani towers,1.1,alipore,8965.0,1227.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,2,1,7,,Old Property,South,1450.0,,1100.0,0,1,0,0,0,2,0.0
