place,bedRoom,bathroom,balcony,facing,agePossession,Direction,built_up_area,servant room,furnishing_type,luxury_category,floor_category,price
32.0,3.0,2.0,1.0,0.0,3.0,1.0,1060.0,0.0,0.0,1.0,1.0,0.4
81.0,2.0,2.0,1.0,1.0,3.0,2.0,899.0,0.0,0.0,1.0,2.0,0.45
81.0,2.0,2.0,1.0,4.0,3.0,2.0,898.0,0.0,0.0,1.0,2.0,0.46
81.0,3.0,2.0,1.0,1.0,3.0,2.0,1091.0,0.0,0.0,1.0,1.0,0.52
26.0,3.0,2.0,1.0,3.0,3.0,0.0,1057.0,0.0,0.0,1.0,2.0,0.62
26.0,2.0,2.0,1.0,2.0,3.0,0.0,727.0,0.0,0.0,1.0,1.0,0.5
26.0,2.0,2.0,1.0,7.0,3.0,0.0,727.0,0.0,0.0,1.0,1.0,0.5
90.0,2.0,2.0,1.0,7.0,3.0,0.0,813.0,0.0,0.0,1.0,2.0,0.55
90.0,2.0,2.0,1.0,5.0,3.0,0.0,770.0,0.0,0.0,1.0,2.0,0.5
90.0,3.0,2.0,1.0,5.0,3.0,0.0,941.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1091.0,0.0,0.0,1.0,1.0,0.68
90.0,2.0,2.0,1.0,0.0,3.0,0.0,771.0,0.0,0.0,1.0,2.0,0.5
90.0,2.0,2.0,1.0,4.0,3.0,0.0,770.0,0.0,0.0,1.0,2.0,0.53
90.0,3.0,2.0,1.0,4.0,3.0,0.0,1116.0,0.0,0.0,1.0,2.0,0.71
90.0,2.0,2.0,1.0,3.0,3.0,0.0,778.0,0.0,0.0,1.0,2.0,0.55
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1035.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,2.0,1.0,1.0,3.0,0.0,1112.0,0.0,0.0,1.0,2.0,0.7
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1069.0,0.0,0.0,1.0,2.0,0.68
90.0,2.0,2.0,2.0,4.0,3.0,0.0,873.0,0.0,0.0,1.0,1.0,0.58
90.0,2.0,2.0,1.0,4.0,3.0,0.0,873.0,0.0,0.0,2.0,1.0,0.58
90.0,2.0,2.0,1.0,6.0,3.0,0.0,787.0,0.0,0.0,2.0,1.0,0.53
90.0,2.0,2.0,1.0,2.0,3.0,0.0,715.0,0.0,0.0,1.0,2.0,0.49
90.0,2.0,2.0,1.0,3.0,3.0,0.0,762.0,0.0,0.0,1.0,2.0,0.52
90.0,3.0,3.0,1.0,1.0,3.0,0.0,1283.0,0.0,0.0,1.0,2.0,0.8
90.0,2.0,2.0,2.0,6.0,3.0,0.0,924.0,0.0,0.0,1.0,2.0,0.55
90.0,2.0,2.0,2.0,3.0,3.0,0.0,898.0,0.0,0.0,1.0,2.0,0.5
90.0,2.0,2.0,1.0,1.0,3.0,0.0,898.0,0.0,0.0,1.0,1.0,0.5
90.0,3.0,2.0,1.0,0.0,3.0,0.0,1270.0,0.0,0.0,1.0,2.0,0.75
90.0,3.0,2.0,1.0,3.0,3.0,0.0,1272.0,0.0,0.0,1.0,2.0,0.75
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1272.0,0.0,0.0,1.0,1.0,0.75
90.0,3.0,2.0,1.0,7.0,3.0,0.0,1069.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1069.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,2.0,1.0,2.0,3.0,0.0,1070.0,0.0,0.0,1.0,1.0,0.65
90.0,3.0,3.0,1.0,1.0,3.0,0.0,1069.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,3.0,1.0,1.0,3.0,0.0,1069.0,0.0,0.0,1.0,1.0,0.65
90.0,3.0,2.0,1.0,1.0,3.0,0.0,1069.0,0.0,0.0,1.0,2.0,0.65
90.0,3.0,2.0,1.0,5.0,3.0,0.0,1266.0,0.0,0.0,1.0,1.0,0.74
90.0,3.0,2.0,1.0,5.0,3.0,0.0,1266.0,0.0,0.0,1.0,1.0,0.75
90.0,3.0,2.0,2.0,4.0,3.0,0.0,1264.0,0.0,0.0,1.0,2.0,0.72
90.0,3.0,2.0,2.0,5.0,3.0,0.0,1266.0,0.0,0.0,1.0,2.0,0.72
36.0,2.0,2.0,1.0,7.0,3.0,2.0,920.0,0.0,0.0,2.0,1.0,0.66
8.0,3.0,3.0,1.0,1.0,3.0,2.0,1687.0,0.0,0.0,1.0,0.0,2.1
123.0,3.0,2.0,1.0,7.0,2.0,2.0,1240.0,0.0,0.0,2.0,2.0,1.47
83.0,3.0,2.0,1.0,6.0,3.0,2.0,1009.0,0.0,0.0,1.0,2.0,0.75
27.0,2.0,2.0,1.0,4.0,3.0,0.0,719.0,0.0,0.0,0.0,2.0,0.41
27.0,3.0,2.0,2.0,4.0,3.0,0.0,1050.0,0.0,0.0,0.0,1.0,0.47
104.0,2.0,2.0,1.0,4.0,3.0,0.0,769.0,0.0,0.0,2.0,2.0,0.31
104.0,2.0,2.0,1.0,5.0,3.0,0.0,666.0,0.0,0.0,1.0,1.0,0.23
104.0,2.0,2.0,1.0,4.0,3.0,0.0,761.0,0.0,0.0,2.0,2.0,0.31
104.0,2.0,2.0,1.0,6.0,3.0,0.0,719.0,0.0,0.0,1.0,2.0,0.28
104.0,2.0,2.0,1.0,4.0,3.0,4.0,891.0,0.0,0.0,1.0,2.0,0.31
104.0,2.0,2.0,1.0,4.0,3.0,0.0,664.0,0.0,0.0,1.0,1.0,0.23
13.0,2.0,2.0,1.0,4.0,3.0,1.0,684.0,0.0,0.0,1.0,2.0,0.24
83.0,3.0,2.0,1.0,4.0,3.0,2.0,1052.0,0.0,0.0,1.0,1.0,0.85
88.0,3.0,2.0,1.0,5.0,3.0,2.0,839.0,0.0,0.0,1.0,1.0,0.49
88.0,2.0,2.0,1.0,1.0,3.0,2.0,660.0,0.0,0.0,1.0,1.0,0.39
86.0,3.0,2.0,1.0,4.0,3.0,2.0,1161.0,0.0,0.0,1.0,1.0,0.62
