society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
dlf new town heights,2.1,new town,6578.0,Super Built up area 3192(296.55 sq.m.),4.0,6,2,15,,Relatively New,East,3192.0,,,0,1,0,0,0,2,89.0
siddha eden lake ville,0.9,bonhooghly,10000.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,3,1,11,South-East,Relatively New,North,1300.0,1000.0,900.0,0,0,0,0,0,2,118.0
ballygunge palace,1.45,ballygunge,10357.0,Super Built up area 1400(130.06 sq.m.),3.0,2,1,4,,Moderately Old,South,1400.0,,,0,0,0,0,0,0,0.0
prantik apartment,0.32,barisha,4129.0,Carpet area: 775 (72 sq.m.),2.0,2,1,3,South-West,Moderately Old,South,,,775.0,0,0,0,0,0,0,6.0
skyline harmony,0.9,garia,7468.0,Super Built up area 1205(111.95 sq.m.),3.0,2,1,3,North-West,Moderately Old,South,1205.0,,,0,0,0,0,0,1,104.0
ps one 10,1.3,new town,11200.0,Super Built up area 1116(103.68 sq.m.),3.0,2,1,15,,Under Construction,East,1116.0,,,0,0,0,0,0,0,90.0
srijan midlands,0.34,madhyamgram,3644.0,Super Built up area 933(86.68 sq.m.)Carpet area: 714 sq.ft. (66.33 sq.m.),2.0,2,1,2,,Old Property,North,933.0,,714.0,0,0,0,0,0,0,103.0
baranagar,0.5,ananya,4940.0,Carpet area: 1012 (94.02 sq.m.),3.0,2,1,1,South,Old Property,North,,,1012.0,0,0,0,0,1,0,0.0
south winds manikpur,0.85,har,4000.0,Carpet area: 1650 (153.29 sq.m.),3.0,2,3,1,West,New Property,South,,,1650.0,0,0,0,0,1,0,136.0
sk tower rabindrapalli,0.9,krishnapur,4000.0,Carpet area: 2250 (209.03 sq.m.),5.0,3,3,5,,Relatively New,North,,,2250.0,1,1,0,0,0,1,0.0
rishi ecoview,1.27,new town,7246.0,Built Up area: 1739 (161.56 sq.m.),3.0,3,1,6,South,Relatively New,East,,1739.0,,1,0,0,0,0,0,148.0
